ID,Expression,SUCCESS,TIME,Expression_Details
sogn_s_1_1_100,x1-x2,1,2.302053452,"sub,x1,add,x2,mul,sub,x2,x2,sub,x1,x2"
sogn_s_1_2_100,-x1**2*x2+x1-x2,0,2.200256586,"sub,add,div,mul,sub,sub,x2,div,x2,div,x1,mul,mul,x2,x1,x1,x2,x1,x2,x1,x2"
sogn_s_1_3_100,x1-x2-1/x2,0,1.997452974,"sub,sub,x1,x2,div,x1,add,sub,x1,x1,mul,x1,x2"
sogn_s_1_4_100,x1**2/x2+x1-x2,0,2.091889381,"add,sub,x1,x2,mul,sub,add,div,x1,x2,x2,div,mul,x2,x1,x1,x1"
sogn_s_1_5_100,x1-x2,1,2.100557327,"add,x1,sub,x2,add,add,x2,x1,sub,x2,x1"
sogn_s_1_6_100,x1+x1/(x1+x2)-x2,0,2.855140209,"add,sub,x1,x2,div,x1,add,x1,x2"
sogn_s_1_7_100,x1+x1/x2-x2+2/x2,0,2.135571241,"add,div,x1,x2,sub,add,x1,div,div,mul,div,div,mul,add,x1,x1,x1,x2,x1,x2,x1,x2,x2"
sogn_s_1_8_100,x1-x2,1,2.118994474,"add,x1,sub,sub,x1,x1,x2"
sogn_s_1_9_100,x1+x1/x2-x2,0,2.10637188,"sub,x2,add,sub,sub,x2,div,x1,x2,x1,x2"
sogn_s_1_10_100,x1-x2,1,2.066232443,"add,sub,x1,add,add,x1,x2,x2,add,x1,x2"
sogn_s_1_11_100,zoo*(x2**2+x2)/(x1*x2)+x1-x2,0,2.085219145,"sub,x1,add,x2,div,div,div,add,x2,mul,x2,x2,sub,x2,x2,x2,x1"
sogn_s_1_12_100,x1-x2,1,2.101768017,"sub,x1,mul,x2,div,x2,x2"
sogn_s_1_13_100,x1-x2,1,2.170478106,"add,mul,x1,sub,x1,x1,sub,x1,x2"
sogn_s_1_14_100,x1-x2,1,2.182299137,"add,add,sub,sub,sub,x1,x2,x1,x1,x1,x1"
sogn_s_1_15_100,x1-x2,1,2.148195267,"sub,sub,x1,sub,div,mul,x2,add,sub,x1,x1,div,x2,div,x2,x2,x2,x1,x1"
sogn_s_1_16_100,x1-x2,1,2.196642876,"sub,sub,x2,x2,add,x1,sub,x2,add,x1,x1"
sogn_s_1_17_100,x1+x1/(x1*x2+x1)-x2,0,2.032543421,"add,sub,div,x1,add,mul,x1,x2,x1,x2,x1"
sogn_s_1_18_100,x1+x1/x2-x2,0,2.082456589,"sub,x1,sub,x2,div,add,x1,x1,add,sub,x2,sub,x2,x2,x2"
sogn_s_1_19_100,x1+x2**3-x2,0,2.218029499,"sub,x1,sub,x2,mul,div,x2,div,div,mul,x1,x1,mul,x1,x2,x2,x1"
sogn_s_1_20_100,x1-x2-1/(2*x2),0,2.142757416,"sub,sub,x1,x2,mul,div,div,x2,add,x2,x2,x2,div,x1,x1"
sogn_s_1_21_100,x1-x2,1,2.100583553,"sub,x1,sub,x2,div,sub,x1,x1,div,div,x2,div,x2,x1,x1"
sogn_s_1_22_100,x1*x2/(x1+x2)+x1-x2,0,2.246623993,"sub,x1,add,sub,sub,x2,x2,mul,x2,div,x1,add,x2,x1,x2"
sogn_s_1_23_100,x1-x2,1,2.240138769,"div,sub,x1,x2,div,x2,x2"
sogn_s_1_24_100,x1-x2-(x1/x2+x2-1)/x2,0,2.163393021,"sub,x1,add,div,add,x2,sub,div,x1,x2,div,x2,x2,x2,x2"
sogn_s_1_25_100,x1-x2,1,2.207888365,"sub,sub,x1,x2,sub,x1,mul,div,x1,x1,x1"
sogn_s_1_26_100,x1-x2-1/x2,0,2.250251532,"mul,div,x2,x2,sub,sub,x1,div,x1,mul,mul,x1,div,x2,x2,x2,x2"
sogn_s_1_27_100,x1+x1/(-x1+x2*(x1/x2+2*x2))-x2,0,2.239161253,"add,x1,sub,div,x1,sub,mul,x2,add,div,x1,x2,add,x2,x2,x1,x2"
sogn_s_1_28_100,x1-x2+(-x1+x2)*(2*x1-x2/x1)/x2**2,0,2.31948185,"sub,add,div,div,sub,x2,x1,x2,div,x2,add,x1,sub,x1,div,x2,x1,x1,x2"
sogn_s_1_29_100,0,0,2.229127407,"sub,x1,sub,mul,x2,x1,sub,mul,mul,x1,x2,div,add,x2,x1,x2,x2"
sogn_s_1_30_100,2*x1-x2,0,2.216503382,"add,sub,x1,x2,mul,mul,x2,div,div,x2,x2,mul,div,x2,x1,x1,x1"
sogn_s_1_31_100,x1-x2+1/(x2+x2**2/x1),0,2.249734402,"add,sub,x1,x2,mul,x1,div,div,x2,x1,mul,add,mul,div,x2,x1,x2,x2,x2"
sogn_s_1_32_100,-x1**3/x2+x1+x1/(x1+x2)-x2,0,2.108644485,"sub,div,x1,add,x2,x1,add,x2,sub,mul,div,mul,x1,mul,div,x1,x2,x2,x2,x1,x1"
sogn_s_1_33_100,x1-x1/x2-x2,0,2.123346567,"sub,x1,add,x2,div,x1,mul,div,x1,x1,x2"
sogn_s_1_34_100,x1+x2/(x1-x2),0,2.184167147,"add,mul,add,sub,x2,x2,div,div,x2,sub,x1,x2,x2,x2,x1"
sogn_s_1_35_100,x1-x2,1,2.106046915,"add,sub,x1,x1,sub,sub,x1,sub,x2,x1,x1"
sogn_s_1_36_100,x1-x2,1,2.283061028,"sub,add,x1,sub,x2,x2,x2"
sogn_s_1_37_100,x1-x2+1/(x1*(2*x1**2+x2)),0,2.256048441,"sub,add,x1,div,x2,sub,x1,sub,x1,mul,mul,add,mul,add,x1,x1,x1,x2,x2,x1,x2"
sogn_s_1_38_100,x1-x2,1,2.208437204,"sub,mul,x1,div,x2,x2,x2"
sogn_s_1_39_100,x1+x1/(x1+x2)-x2,0,2.188534737,"sub,x1,sub,x2,div,x1,add,x1,x2"
sogn_s_1_40_100,x1-x2,1,2.188745737,"sub,x1,add,sub,x1,x1,x2"
sogn_s_1_41_100,x1+x1/x2-x2,0,2.264419317,"add,x1,sub,sub,add,x2,x2,add,sub,sub,x2,x1,div,x1,x2,add,x2,x1,x2"
sogn_s_1_42_100,x1-x2,1,2.271354914,"sub,add,x1,x1,add,x1,x2"
sogn_s_1_43_100,x1+x1/(-x1+2*x2)-x2,0,2.182049751,"sub,x1,sub,x2,sub,add,x2,div,x1,sub,x2,sub,x1,x2,x2"
sogn_s_1_44_100,x1-x2,1,2.197200298,"add,x1,add,x1,add,x2,sub,sub,sub,add,sub,sub,x1,x1,x2,x1,x2,x1,x1"
sogn_s_1_45_100,x1-x1/(x1*x2+x1)-x2,0,2.322922707,"sub,x1,add,x2,div,x1,add,mul,x1,x2,x1"
sogn_s_1_46_100,x1-x2+2*x2/x1,0,2.467144966,"add,x1,sub,div,mul,mul,div,div,add,sub,x1,x1,add,x1,x1,x1,x2,x2,x2,x1,x2"
sogn_s_1_47_100,zoo*x1**3*x2+x1-x2,0,2.178741693,"sub,x1,sub,x2,mul,x2,mul,div,mul,x1,x1,sub,x1,x1,x1"
sogn_s_1_48_100,x1-x2,1,2.139173508,"sub,add,x1,x1,add,x1,x2"
sogn_s_1_49_100,zoo*x2+x1-x2,0,2.222413301,"sub,x1,sub,x2,mul,sub,add,x2,div,div,x2,x1,sub,x1,x1,x2,x1"
sogn_s_1_50_100,x1+x2/(x2*(-x1-x2+(x1+1)/x2)-x2),0,2.216908932,"add,mul,x2,div,div,x2,x2,sub,mul,sub,sub,div,add,div,x1,x1,x1,x2,x2,x1,x2,x2,x1"
sogn_s_1_51_100,x1+x1/x2-x2,0,2.255056858,"add,sub,div,x1,div,x1,x1,x2,div,add,mul,sub,add,sub,x2,x2,x2,x2,x2,x1,x2"
sogn_s_1_52_100,x1**2*x2/((x1+x2)*(x1/x2+x2))+x1-x2,0,2.150218487,"add,sub,mul,div,div,x1,add,x2,div,x1,x2,add,x2,x1,mul,x2,x1,x2,x1"
sogn_s_1_53_100,x1,0,2.209896803,"sub,x1,sub,x2,div,x1,div,x1,x2"
sogn_s_1_54_100,x1+x1/x2-x2,0,2.255607367,"add,div,x1,x2,sub,x1,x2"
sogn_s_1_55_100,x1-x2,1,2.190408707,"sub,x2,sub,x2,sub,x1,x2"
sogn_s_1_56_100,x1**2*(-x1+x2+1)/x2+x1-x2,0,2.225179911,"sub,x1,sub,x2,mul,div,x1,x2,mul,add,div,x1,x1,sub,x2,x1,x1"
sogn_s_1_57_100,x1-x2,1,2.227341175,"sub,x2,sub,x2,add,x1,sub,mul,x2,sub,x2,x2,x2"
sogn_s_1_58_100,x1-x2-1/(x1*x2-x1+x2),0,2.370822191,"sub,x1,add,x2,add,x1,sub,div,x1,mul,x1,sub,add,x2,mul,x1,x2,x1,x1"
sogn_s_1_59_100,x1-x2,1,2.113498926,"sub,x1,add,x2,sub,x1,x1"
sogn_s_1_60_100,x1-x2,1,2.193993568,"sub,x1,sub,x2,mul,sub,x1,x1,mul,add,mul,x1,add,x1,add,x1,x2,x1,x1"
sogn_s_1_61_100,x1-x2,1,2.191653252,"sub,x2,sub,x2,sub,x1,x2"
sogn_s_1_62_100,x1-x2-x2**2/x1,0,2.277680397,"sub,x1,add,x2,div,x2,div,x1,x2"
sogn_s_1_63_100,x1-x2+(x1**2+x1)/x1,0,2.471524239,"add,mul,div,sub,div,add,mul,x1,x1,x1,x1,x2,add,sub,x2,x2,x2,x2,x1"
sogn_s_1_64_100,x1*x2/(-x1+x2)+x1-x2,0,2.217555285,"add,x1,sub,mul,div,mul,x2,sub,add,div,x1,sub,x2,x1,x1,x1,x1,x1,x2"
sogn_s_1_65_100,x1-x1/x2-x2,0,2.202105999,"sub,sub,x1,x2,div,x1,x2"
sogn_s_1_66_100,x1-x2,1,2.297470093,"add,sub,div,sub,add,x2,sub,x1,x1,x2,add,mul,add,x1,x1,x1,x1,x2,x1"
sogn_s_1_67_100,x1+x1/x2-x2,0,2.201399088,"sub,div,x1,x2,sub,x2,x1"
sogn_s_1_68_100,x1-x2,1,2.243069887,"add,div,mul,x2,x2,sub,sub,x1,x2,x1,x1"
sogn_s_1_69_100,x1-x1/(x2*(x2+(x1-x2)/x2))-x2,0,2.285562277,"sub,x1,add,mul,div,div,x2,mul,mul,x2,x1,div,add,div,sub,x1,x2,x2,x2,x1,x2,x1,x2"
sogn_s_1_70_100,x1-x2,1,2.334495544,"sub,x1,sub,x2,mul,sub,x2,x2,sub,x2,x2"
sogn_s_1_71_100,0,0,2.204431295,"sub,x1,add,add,div,x1,div,x1,sub,x1,sub,x2,sub,x2,x2,x2,x1"
sogn_s_1_72_100,x1-x2+x2/(x2+1),0,2.166994333,"sub,x1,sub,x2,div,x2,add,x2,div,x2,x2"
sogn_s_1_73_100,x1-x2-1/(x1*x2),0,2.202549696,"sub,x1,mul,add,div,x2,mul,x2,mul,x1,x2,x2,div,x2,x2"
sogn_s_1_74_100,x1-x2,1,2.239812613,"sub,x1,add,x2,mul,mul,sub,div,x2,x2,div,x1,x1,x1,x2"
sogn_s_1_75_100,zoo*(-x1+2*x2)+x1-x2,0,2.489467859,"sub,x1,sub,x1,sub,x1,add,div,sub,x2,sub,x1,x2,sub,x1,x1,x2"
sogn_s_1_76_100,x1-x2,1,2.101087809,"sub,x1,add,x2,mul,div,x1,x2,sub,x2,x2"
sogn_s_1_77_100,x1-x2+1/x2,0,2.160863161,"add,x1,sub,x2,sub,add,sub,x1,div,x2,mul,x2,x2,x2,sub,x1,x2"
sogn_s_1_78_100,x1-x2,1,2.315452576,"sub,sub,x1,x2,div,mul,div,sub,x2,x2,x2,mul,x2,x2,x2"
sogn_s_1_79_100,-x1**2/x2+x1-x2,0,2.276994944,"sub,x1,add,x2,div,x1,div,x2,x1"
sogn_s_1_80_100,x1-x2,1,2.195725203,"div,mul,x2,sub,x1,x2,sub,x2,sub,x1,x1"
sogn_s_1_81_100,x1+x1/(x1+x2)-x2,0,2.206925631,"sub,add,sub,div,x1,add,x1,x2,div,sub,x2,x2,x1,x1,x2"
sogn_s_1_82_100,x1+x1/(2*x2)-x2,0,2.337476254,"sub,x1,sub,x2,div,x1,add,x2,x2"
sogn_s_1_83_100,x1-x1/(-x1/(-x1+x2)+x1/x2)-x2,0,2.329958677,"sub,x1,add,x2,div,x1,sub,div,x1,x2,div,x1,sub,x2,x1"
sogn_s_1_84_100,x1-x2+(x1+x1/(-x1+x2+x2/(x1*(x1+x2))))/x2,0,2.292700291,"add,x1,sub,div,add,div,x1,sub,add,x2,div,x2,mul,x1,add,x2,x1,x1,x1,x2,x2"
sogn_s_1_85_100,x1*(2*x2**2-x2)+x1-x2,0,2.236933231,"add,x1,sub,mul,mul,sub,mul,add,x2,x2,x2,x2,div,x1,x2,x2,x2"
sogn_s_1_86_100,x1-x2,1,2.32396698,"sub,add,x1,mul,mul,div,mul,sub,x2,x1,mul,x1,sub,x1,x1,x1,x2,x2,x2"
sogn_s_1_87_100,x1-x2,1,2.194676876,"sub,x1,sub,x2,sub,add,x2,x2,add,x2,x2"
sogn_s_1_88_100,x1-x2,1,2.285310984,"sub,mul,mul,div,x1,x1,div,x2,x2,x1,x2"
sogn_s_1_89_100,x1-x2,1,2.338816643,"sub,add,x1,x1,add,x2,x1"
sogn_s_1_90_100,x1-x2,1,2.379239798,"sub,x1,add,x2,mul,x1,mul,x1,sub,x1,x1"
sogn_s_1_91_100,-x1*x2**2+x1-x2,0,2.217436314,"sub,sub,x1,x2,mul,x1,mul,x2,div,x1,mul,div,div,x1,x2,x1,x1"
sogn_s_1_92_100,x1-x2-x2/(x1+x2*(2*x1+x2)+x2),0,2.26941061,"sub,x1,add,x2,div,x2,add,add,x2,mul,x2,add,x2,add,x1,x1,x1"
sogn_s_1_93_100,x1-x2+x2/(2*x1*x2+x1),0,2.271493912,"add,sub,div,x2,add,x1,mul,mul,x1,div,add,x2,x2,x2,x2,x2,x1"
sogn_s_1_94_100,x1*x2/(-x1+x2)+x1-x2,0,2.272649288,"sub,add,x1,mul,div,x1,mul,div,x1,x1,sub,add,sub,x2,x1,x2,x2,x2,x2"
sogn_s_1_95_100,x1-x2,1,2.179643631,"sub,add,x1,sub,x2,x2,x2"
sogn_s_1_96_100,x1-x2,1,2.407202005,"sub,x1,div,mul,x2,x2,add,x1,sub,x2,x1"
sogn_s_1_97_100,x1+x1/(x1+x2/x1**2)-x2,0,2.26356554,"add,sub,div,x1,add,div,x2,mul,x1,x1,x1,x2,x1"
sogn_s_1_98_100,x1-x2,1,2.174324036,"add,sub,sub,x1,x2,x2,x2"
sogn_s_1_99_100,-x1**2*x2/(x1*x2+x1+x2)+x1-x2,0,2.221575499,"sub,x1,add,x2,mul,x2,mul,div,x1,add,add,x1,x2,mul,x2,x1,x1"
sogn_s_1_100_100,x1-x2+x2**2/x1**2,0,2.321683168,"sub,x2,sub,x2,add,div,x2,mul,div,x1,x2,x1,sub,x1,x2"
sogn_s_2_1_100,zoo+x1-x2,0,2.424646139,"sub,x1,add,div,div,x1,sub,x1,x1,x1,x2"
sogn_s_2_2_100,x1-x1/(x2*(3*x1+(x1+x2)/x1))-x2,0,2.139013052,"sub,sub,x1,x2,div,x1,mul,add,x1,add,add,div,add,x1,x2,x1,x1,x1,x2"
sogn_s_2_3_100,x1-x2+1,0,2.126025677,"sub,add,add,mul,x2,div,div,x1,x2,x1,sub,x2,x2,x1,x2"
sogn_s_2_4_100,x1-x2,1,2.194335938,"add,x1,sub,mul,x1,sub,x1,x1,x2"
sogn_s_2_5_100,x1-x2,1,3.143461227,"mul,div,x2,x2,sub,x1,x2"
sogn_s_2_6_100,x1-x2,1,2.186641455,"add,x1,sub,sub,x1,x2,x1"
sogn_s_2_7_100,x1-x2-(-x1+x2*(x1+2*x2))/x1,0,2.288209677,"sub,sub,x1,div,x2,div,mul,x1,x2,sub,mul,add,x2,add,x2,x1,x2,x1,x2"
sogn_s_2_8_100,x1-x2-1/x2,0,2.437957764,"sub,x1,add,mul,x2,div,div,div,x1,div,mul,x2,x2,x2,x1,x2,x2"
sogn_s_2_9_100,x1*x2/(x2**2-x2)+x1-x2,0,2.156293392,"sub,x1,sub,x2,div,x2,div,sub,mul,x2,x2,x2,x1"
sogn_s_2_10_100,x1-x2,1,2.220906019,"add,sub,x1,x2,mul,sub,div,mul,add,x2,x2,x1,add,x2,x2,x1,x2"
sogn_s_2_11_100,x1-x2,1,2.2087605,"sub,x1,sub,x2,sub,x2,x2"
sogn_s_2_12_100,x1-x2,1,2.188874245,"div,mul,sub,x1,x2,x1,div,mul,x1,x2,x2"
sogn_s_2_13_100,0,0,96.67037439,0
sogn_s_2_14_100,x1-x2,1,2.008849859,"sub,add,x1,x1,add,x1,x2"
sogn_s_2_15_100,x1+x1/(-x1+2*x2)-x2,0,2.095371962,"sub,x1,sub,x2,sub,add,x2,div,x1,sub,x2,sub,x1,x2,x2"
sogn_s_2_16_100,x1*x2/(x1*x2*(x1-2*x2)+x2)+x1,0,2.300879955,"add,x1,mul,x2,div,x1,add,mul,mul,x1,sub,x1,add,x2,x2,x2,x2"
sogn_s_2_17_100,x1-x1/(x1*x2+x1)-x2,0,2.208390951,"sub,x1,add,x2,div,x1,add,mul,x1,x2,x1"
sogn_s_2_18_100,x1-x2+2*x2/x1,0,2.187145233,"add,x1,sub,div,mul,mul,div,div,add,sub,x1,x1,add,x1,x1,x1,x2,x2,x2,x1,x2"
sogn_s_2_19_100,zoo*x1**3*x2+x1-x2,0,2.379244566,"sub,x1,sub,x2,mul,x2,mul,div,mul,x1,x1,sub,x1,x1,x1"
sogn_s_2_20_100,x1-x2,1,2.222476482,"sub,add,mul,mul,div,sub,x2,x2,mul,x1,x2,x2,sub,div,add,x2,x1,x2,x1,x1,x2"
sogn_s_2_21_100,x1-x2,1,2.143039942,"sub,x1,sub,x1,sub,x1,x2"
sogn_s_2_22_100,x1+x2/(x2*(-x1-x2+(x1+1)/x2)-x2),0,2.174449444,"add,mul,x2,div,div,x2,x2,sub,mul,sub,sub,div,add,div,x1,x1,x1,x2,x2,x1,x2,x2,x1"
sogn_s_2_23_100,0,0,104.1993637,0
sogn_s_2_24_100,x1**2*x2/((x1+x2)*(x1/x2+x2))+x1-x2,0,1.946099997,"add,sub,mul,div,div,x1,add,x2,div,x1,x2,add,x2,x1,mul,x2,x1,x2,x1"
sogn_s_2_25_100,x1,0,2.112926722,"sub,x1,sub,x2,div,x1,div,x1,x2"
sogn_s_2_26_100,x1+x1/x2-x2,0,2.261913061,"add,div,x1,x2,sub,x1,x2"
sogn_s_2_27_100,x1-x2,1,2.338099718,"sub,x2,sub,x2,sub,x1,x2"
sogn_s_2_28_100,x1**2*(-x1+x2+1)/x2+x1-x2,0,2.247801304,"sub,x1,sub,x2,mul,div,x1,x2,mul,add,div,x1,x1,sub,x2,x1,x1"
sogn_s_2_29_100,x1-x2,1,2.222283125,"sub,x2,sub,x2,add,x1,sub,mul,x2,sub,x2,x2,x2"
sogn_s_2_30_100,0,0,2.354561567,"sub,add,x1,div,x1,sub,x2,mul,x2,div,add,x2,div,x1,x1,x2,x2"
sogn_s_2_31_100,x1-x2,1,2.146867752,"sub,div,x1,div,x2,x2,x2"
sogn_s_2_32_100,x1-x2,1,2.094707012,"sub,x1,sub,x2,mul,sub,x1,x1,mul,add,mul,x1,add,x1,add,x1,x2,x1,x1"
sogn_s_2_33_100,x1-x2,1,2.285643339,"sub,x2,sub,x2,sub,x1,x2"
sogn_s_2_34_100,x1-x2-x2**2/x1,0,2.14347744,"sub,x1,add,x2,div,x2,div,x1,x2"
sogn_s_2_35_100,x1-x2+(x1**2+x1)/x1,0,2.215619087,"add,mul,div,sub,div,add,mul,x1,x1,x1,x1,x2,add,sub,x2,x2,x2,x2,x1"
sogn_s_2_36_100,x1*x2/(-x1+x2)+x1-x2,0,2.162549496,"add,x1,sub,mul,div,mul,x2,sub,add,div,x1,sub,x2,x1,x1,x1,x1,x1,x2"
sogn_s_2_37_100,x1-x1/x2-x2,0,2.1846416,"sub,sub,x1,x2,div,x1,x2"
sogn_s_2_38_100,x1-x2,1,2.216202497,"add,sub,div,sub,add,x2,sub,x1,x1,x2,add,mul,add,x1,x1,x1,x1,x2,x1"
sogn_s_2_39_100,x1+x1/x2-x2,0,2.165285826,"sub,div,x1,x2,sub,x2,x1"
sogn_s_2_40_100,x1*x2**2-x1*x2*(x1/x2+x2)+x1-x2,0,2.204106092,"sub,mul,mul,x1,x2,x2,add,sub,mul,x2,mul,x1,add,div,x1,x2,x2,x1,x2"
sogn_s_2_41_100,x1-x2,1,2.324555635,"sub,sub,x1,x2,sub,x1,x1"
sogn_s_2_42_100,x1-x2,1,2.201333761,"sub,x1,sub,x2,mul,sub,x2,x2,sub,x2,x2"
sogn_s_2_43_100,0,0,2.274301529,"sub,x1,add,add,div,x1,div,x1,sub,x1,sub,x2,sub,x2,x2,x2,x1"
sogn_s_2_44_100,x1-x2+x2/(x2+1),0,2.285244942,"sub,x1,sub,x2,div,x2,add,x2,div,x2,x2"
sogn_s_2_45_100,x1-x2-1/(x1*x2),0,2.235949516,"sub,x1,mul,add,div,x2,mul,x2,mul,x1,x2,x2,div,x2,x2"
sogn_s_2_46_100,x1-x2,1,2.197184563,"sub,x1,add,x2,mul,mul,sub,div,x2,x2,div,x1,x1,x1,x2"
sogn_s_2_47_100,zoo*(-x1+2*x2)+x1-x2,0,2.374496698,"sub,x1,sub,x1,sub,x1,add,div,sub,x2,sub,x1,x2,sub,x1,x1,x2"
sogn_s_2_48_100,x1-x2,1,2.088925123,"sub,x1,add,x2,mul,div,x1,x2,sub,x2,x2"
sogn_s_2_49_100,x1-x2+1/x2,0,2.148385048,"add,x1,sub,x2,sub,add,sub,x1,div,x2,mul,x2,x2,x2,sub,x1,x2"
sogn_s_2_50_100,x1-x2,1,3.144884825,"add,x1,sub,x2,mul,div,add,x2,mul,div,x2,sub,x1,x2,sub,x1,x2,x2,x2"
sogn_s_2_51_100,x1-x2+x2/(x1*(x1*(2*x1+x2**2-x2)-x2)),0,2.182045937,"add,sub,div,x2,mul,sub,mul,add,sub,x1,x2,add,mul,x2,x2,x1,x1,x2,x1,x2,x1"
sogn_s_2_52_100,x1-x2,1,2.161417723,"div,mul,x2,sub,x1,x2,sub,x2,sub,x1,x1"
sogn_s_2_53_100,x1+x1/(x1+x2)-x2,0,2.170833111,"sub,add,sub,div,x1,add,x1,x2,div,sub,x2,x2,x1,x1,x2"
sogn_s_2_54_100,x1+x1/(2*x2)-x2,0,2.259538412,"sub,x1,sub,x2,div,x1,add,x2,x2"
sogn_s_2_55_100,x1-x1/(-x1/(-x1+x2)+x1/x2)-x2,0,2.167294979,"sub,x1,add,x2,div,x1,sub,div,x1,x2,div,x1,sub,x2,x1"
sogn_s_2_56_100,x1-x2+(x1+x1/(-x1+x2+x2/(x1*(x1+x2))))/x2,0,2.310153246,"add,x1,sub,div,add,div,x1,sub,add,x2,div,x2,mul,x1,add,x2,x1,x1,x1,x2,x2"
sogn_s_2_57_100,x1*(2*x2**2-x2)+x1-x2,0,2.283887148,"add,x1,sub,mul,mul,sub,mul,add,x2,x2,x2,x2,div,x1,x2,x2,x2"
sogn_s_2_58_100,x1-x2,1,2.448138714,"sub,add,x1,mul,mul,div,mul,sub,x2,x1,mul,x1,sub,x1,x1,x1,x2,x2,x2"
sogn_s_2_59_100,x1-x2,1,2.09629941,"sub,x1,sub,x2,sub,add,x2,x2,add,x2,x2"
sogn_s_2_60_100,x1-x2,1,2.176299334,"sub,x1,mul,x2,sub,div,x2,x2,sub,x2,x2"
sogn_s_2_61_100,x1+x1/x2-x2,0,2.116281748,"add,sub,x1,x2,div,x1,x2"
sogn_s_2_62_100,x1-x2,1,2.373880625,"sub,x1,add,x2,mul,x1,mul,x1,sub,x1,x1"
sogn_s_2_63_100,-x1*x2**2+x1-x2,0,2.403902054,"sub,sub,x1,x2,mul,x1,mul,x2,div,x1,mul,div,div,x1,x2,x1,x1"
sogn_s_2_64_100,x1-x2-x2/(x1+x2*(2*x1+x2)+x2),0,2.148647785,"sub,x1,add,x2,div,x2,add,add,x2,mul,x2,add,x2,add,x1,x1,x1"
sogn_s_2_65_100,x1-x2+x2/(2*x1*x2+x1),0,2.368094206,"add,sub,div,x2,add,x1,mul,mul,x1,div,add,x2,x2,x2,x2,x2,x1"
sogn_s_2_66_100,x1*x2/(-x1+x2)+x1-x2,0,2.271339655,"sub,add,x1,mul,div,x1,mul,div,x1,x1,sub,add,sub,x2,x1,x2,x2,x2,x2"
sogn_s_2_67_100,x1-x2,1,2.161300182,"sub,add,x1,sub,x2,x2,x2"
sogn_s_2_68_100,x1-x2,1,2.202178717,"sub,x1,div,mul,x2,x2,add,x1,sub,x2,x1"
sogn_s_2_69_100,x1+x1/(x1+x2/x1**2)-x2,0,2.128377914,"add,sub,div,x1,add,div,x2,mul,x1,x1,x1,x2,x1"
sogn_s_2_70_100,x1-x2+1/x2,0,3.325810432,"sub,x1,sub,x2,div,x2,mul,x2,x2"
sogn_s_2_71_100,x1-x2+x1**(-2),0,2.223003626,"add,sub,div,x2,mul,mul,x2,x2,mul,x1,div,x1,x2,x2,x1"
sogn_s_2_72_100,x1-x2,1,2.264329433,"add,sub,sub,x1,x1,x2,x1"
sogn_s_2_73_100,x1**2+x1-x2,0,2.378404617,"sub,x1,sub,x2,mul,x2,mul,div,x1,x2,x1"
sogn_s_2_74_100,x1-x1/(-x1+x2)-x2,0,2.13223958,"sub,x2,add,add,x2,x2,sub,mul,div,x2,mul,sub,x2,x1,x2,x1,x1"
sogn_s_2_75_100,x1-x2,1,2.167539835,"sub,div,mul,x1,x1,x1,sub,add,add,x1,mul,sub,x2,x2,x1,x2,x1"
sogn_s_2_76_100,x1-x2,1,2.160674334,"sub,add,div,sub,x2,x2,sub,sub,x2,x2,x2,x1,x2"
sogn_s_2_77_100,x1-x2,1,2.196778297,"sub,x1,div,x2,div,x2,x2"
sogn_s_2_78_100,-x1**2*(x1+x2)/x2+x1-x2,0,2.176799536,"sub,x1,add,sub,add,mul,div,x1,div,x1,mul,add,x2,x1,div,x1,x2,x1,x2,x1,x1"
sogn_s_2_79_100,x1-x2,1,2.238934278,"sub,x1,div,mul,x2,x2,x2"
sogn_s_2_80_100,x1,0,2.234157085,"add,add,x2,sub,sub,div,x1,div,div,mul,mul,x1,div,x1,x2,x2,x2,x1,x2,x2,x1"
sogn_s_2_81_100,x1-x1/x2-x2,0,2.221637964,"add,x1,sub,x2,add,add,div,x1,add,x2,div,sub,x1,x1,x2,x2,x2"
sogn_s_2_82_100,x1-x2+x2**2/(2*x1),0,3.29729104,"add,x1,sub,div,x2,add,x1,sub,div,add,sub,add,x1,x2,x2,x1,x2,x1,x2"
sogn_s_2_83_100,2*x1-x1*(x1+x2)/(-x1+x2)-x2,0,2.211760044,"sub,add,sub,x1,x2,x1,mul,x1,div,add,x1,x2,sub,x2,x1"
sogn_s_2_84_100,x1+x1/(-x1*(x1-x2)-x1+3*x2)-x2,0,2.199546099,"add,x1,sub,div,x1,sub,add,add,sub,x2,mul,sub,sub,add,x1,x1,x1,x2,x1,x2,x2,x1,x2"
sogn_s_2_85_100,x1*x2**2*(-x1+x2)+x1-x2,0,2.20092845,"add,sub,mul,mul,mul,x2,div,x1,x2,mul,sub,x2,x1,x2,x2,x2,x1"
sogn_s_2_86_100,x1-x1/(-x1+x2/x1)-x2,0,2.245150089,"sub,x1,add,x2,div,add,x1,sub,x1,x1,sub,div,x2,x1,x1"
sogn_s_2_87_100,x1-x2+(x2-(-x1+2*x2)/(2*x2))/x2,0,2.122951269,"sub,add,x1,div,add,div,sub,add,x2,x2,x1,sub,x1,add,add,x2,x2,x1,x2,x2,x2"
sogn_s_2_88_100,x1-x2+1/(2*x1*(x1+x2)),0,2.213504076,"sub,add,x1,div,div,x1,mul,add,x1,x1,x1,add,x1,x2,x2"
